filename,x,y,z,nb_of_blank_space,average_quality
0_-40_0.log,0.0,-40.0,0.0,11,67.46932160222273
0_-50_0.log,0.0,-50.0,0.0,13,78.50886151997597
0_-60_0.log,0.0,-60.0,0.0,9,81.70646900269541
0_-70_0.log,0.0,-70.0,0.0,5,89.21532955562184
0_-80_0.log,0.0,-80.0,0.0,823,93.63186813186813
100_-40_0.log,100.0,-40.0,0.0,0,82.76767980740294
100_-50_0.log,100.0,-50.0,0.0,1261,91.00846688841851
100_-50_30.log,100.0,-50.0,30.0,4,88.73120795554256
100_-60_0.log,100.0,-60.0,0.0,5493,94.91556350626118
100_-70_0.log,100.0,-70.0,0.0,3,93.54303215926492
100_-80_0.log,100.0,-80.0,0.0,6,94.36360946745562
10_-40_0.log,10.0,-40.0,0.0,51,68.28814608480347
10_-50_0.log,10.0,-50.0,0.0,5,68.77748759467224
10_-50_30.log,10.0,-50.0,30.0,28,76.1142061281337
10_-60_0.log,10.0,-60.0,0.0,11,80.91362397820164
10_-70_0.log,10.0,-70.0,0.0,19,86.58419435911756
10_-70_20.log,10.0,-70.0,20.0,4,84.81866591928251
10_-80_0.log,10.0,-80.0,0.0,6,89.34859976662777
20_-40_0.log,20.0,-40.0,0.0,1675,51.43735224586288
20_-50_0.log,20.0,-50.0,0.0,26,64.89170437405731
20_-50_30.log,20.0,-50.0,30.0,8,70.28434172942093
20_-60_0.log,20.0,-60.0,0.0,3,76.32183433174964
20_-70_0.log,20.0,-70.0,0.0,9,84.80553023397144
20_-70_30.log,20.0,-70.0,30.0,10,85.90692458648725
20_-80_0.log,20.0,-80.0,0.0,11,88.5165703861356
30_-40_0.log,30.0,-40.0,0.0,878,58.68216560509554
30_-50_0.log,30.0,-50.0,0.0,91,55.417461694131255
30_-50_30.log,30.0,-50.0,30.0,41,60.655745377954595
30_-60_0.log,30.0,-60.0,0.0,23,70.51244813278008
30_-70_0.log,30.0,-70.0,0.0,7,79.59441408621737
30_-80_0.log,30.0,-80.0,0.0,17,84.724710768318
30_-80_30.log,30.0,-80.0,30.0,4,84.36432432432433
40_-30_20.log,40.0,-30.0,20.0,19,57.79595738869161
40_-40_0.log,40.0,-40.0,0.0,60,46.27654469106179
40_-50_0.log,40.0,-50.0,0.0,34,51.258357771261
40_-50_30.log,40.0,-50.0,30.0,16,69.30348401957961
40_-60_0.log,40.0,-60.0,0.0,21,64.241642228739
40_-70_0.log,40.0,-70.0,0.0,5,75.72059684025746
40_-80_0.log,40.0,-80.0,0.0,6,81.85049534674272
40_-80_30.log,40.0,-80.0,30.0,7,84.45760275941362
50_-40_0.log,50.0,-40.0,0.0,28,42.99149900821762
50_-50_0.log,50.0,-50.0,0.0,27,52.31691586045148
50_-50_30.log,50.0,-50.0,30.0,6,63.6580459770115
50_-60_0.log,50.0,-60.0,0.0,11,61.69980397647718
50_-60_40.log,50.0,-60.0,40.0,11,82.30456852791878
50_-70_0.log,50.0,-70.0,0.0,11,74.24820788530467
50_-70_30.log,50.0,-70.0,30.0,2,79.6213935764834
50_-80_0.log,50.0,-80.0,0.0,6,80.79907487713211
50_-80_30.log,50.0,-80.0,30.0,4,84.12798138452588
60_-40_0.log,60.0,-40.0,0.0,7934,73.01051051051051
60_-50_0.log,60.0,-50.0,0.0,238,63.47454233409611
60_-50_30.log,60.0,-50.0,30.0,2,71.64379442318207
60_-60_0.log,60.0,-60.0,0.0,17,71.05826678497486
60_-70_0.log,60.0,-70.0,0.0,18,78.08314917127072
60_-80_0.log,60.0,-80.0,0.0,9,82.82862243379947
70_-40_0.log,70.0,-40.0,0.0,233,69.1931608133087
70_-50_0.log,70.0,-50.0,0.0,588,81.68613138686132
70_-50_30.log,70.0,-50.0,30.0,13,86.06736146415862
70_-60_0.log,70.0,-60.0,0.0,13,76.92391304347827
70_-70_0.log,70.0,-70.0,0.0,12,81.15247741582262
70_-80_0.log,70.0,-80.0,0.0,5,86.39958283671037
80_-20_10.log,80.0,-20.0,10.0,14,53.9528543027549
80_-40_0.log,80.0,-40.0,0.0,987,81.15149817978157
80_-50_0.log,80.0,-50.0,0.0,890,87.12911764705882
80_-50_30.log,80.0,-50.0,30.0,7,85.58477789815818
80_-60_0.log,80.0,-60.0,0.0,90,86.19048913043478
80_-70_0.log,80.0,-70.0,0.0,34,88.64980638915779
80_-80_0.log,80.0,-80.0,0.0,12,90.45370092897812
90_-40_0.log,90.0,-40.0,0.0,12,78.80501813784764
90_-50_0.log,90.0,-50.0,0.0,9423,91.27345309381238
90_-50_30.log,90.0,-50.0,30.0,5,85.3004009163803
90_-60_0.log,90.0,-60.0,0.0,26,87.3773639802153
90_-70_0.log,90.0,-70.0,0.0,10,93.41955509570616
90_-80_0.log,90.0,-80.0,0.0,65,95.83635831381733
